sci,en,class_,order_,family,wiki,source
Pipilo maculatus,Spotted Towhee,Aves,Passeriformes,Passerellidae,Pipilo_maculatus,gbif
Dryocopus martius,Black Woodpecker,Aves,Piciformes,Picidae,Dryocopus_martius,gbif
Vireo olivaceus,Red-eyed Vireo,Aves,Passeriformes,Vireonidae,Vireo_olivaceus,gbif
Dumetella carolinensis,Gray Catbird,Aves,Passeriformes,Mimidae,Dumetella_carolinensis,gbif
Strix varia,Barred Owl,Aves,Strigiformes,Strigidae,Strix_varia,gbif
Cettia cetti,Cetti's Warbler,Aves,Passeriformes,Cettiidae,Cettia_cetti,gbif
Sylvia curruca,Lesser Whitethroat,Aves,Passeriformes,Sylviidae,Sylvia_curruca,gbif
Pipilo erythrophthalmus,Eastern Towhee,Aves,Passeriformes,Passerellidae,Pipilo_erythrophthalmus,gbif
Prunella modularis,Dunnock,Aves,Passeriformes,Prunellidae,Prunella_modularis,gbif
Haemorhous mexicanus,House Finch,Aves,Passeriformes,Fringillidae,Haemorhous_mexicanus,gbif
Anthus trivialis,Tree Pipit,Aves,Passeriformes,Motacillidae,Anthus_trivialis,gbif
Sylvia borin,Garden Warbler,Aves,Passeriformes,Sylviidae,Sylvia_borin,gbif
Colaptes auratus,Northern Flicker,Aves,Piciformes,Picidae,Colaptes_auratus,gbif
Turdus iliacus,Redwing,Aves,Passeriformes,Turdidae,Turdus_iliacus,gbif
Dryophytes versicolor,Gray Treefrog,Amphibia,Anura,Hylidae,Dryophytes_versicolor,gbif
Emberiza calandra,corn bunting,Aves,Passeriformes,Emberizidae,Emberiza_calandra,gbif
Luscinia luscinia,Thrush Nightingale,Aves,Passeriformes,Muscicapidae,Luscinia_luscinia,gbif
Vireo griseus,White-eyed Vireo,Aves,Passeriformes,Vireonidae,Vireo_griseus,gbif
Hylocichla mustelina,Wood Thrush,Aves,Passeriformes,Turdidae,Hylocichla_mustelina,gbif
Hippolais icterina,Icterine Warbler,Aves,Passeriformes,Acrocephalidae,Hippolais_icterina,gbif
Gallinula chloropus,Eurasian Moorhen,Aves,Gruiformes,Rallidae,Gallinula_chloropus,gbif
Pseudacris maculata,Boreal Chorus Frog,Amphibia,Anura,Hylidae,Pseudacris_maculata,gbif
Phoenicurus phoenicurus,Common Redstart,Aves,Passeriformes,Muscicapidae,Phoenicurus_phoenicurus,gbif
Poecile palustris,Marsh Tit,Aves,Passeriformes,Paridae,Poecile_palustris,gbif
Serinus serinus,European Serin,Aves,Passeriformes,Fringillidae,Serinus_serinus,gbif
Thryomanes bewickii,Bewick's Wren,Aves,Passeriformes,Troglodytidae,Thryomanes_bewickii,gbif
Acrocephalus schoenobaenus,Sedge Warbler,Aves,Passeriformes,Acrocephalidae,Acrocephalus_schoenobaenus,gbif
Fulica atra,Eurasian Coot,Aves,Gruiformes,Rallidae,Fulica_atra,gbif
Phylloscopus sibillatrix,Wood Warbler,Aves,Passeriformes,Phylloscopidae,Phylloscopus_sibillatrix,gbif
Coturnix coturnix,Common Quail,Aves,Galliformes,Phasianidae,Coturnix_coturnix,gbif
Picus viridis,Eurasian Green Woodpecker,Aves,Piciformes,Picidae,Picus_viridis,gbif
Melanerpes carolinus,Red-bellied Woodpecker,Aves,Piciformes,Picidae,Melanerpes_carolinus,gbif
Pseudacris regilla,Pacific chorus frog,Amphibia,Anura,Hylidae,Pseudacris_regilla,gbif
Phoenicurus ochruros,Black Redstart,Aves,Passeriformes,Muscicapidae,Phoenicurus_ochruros,gbif
Regulus ignicapilla,Firecrest,Aves,Passeriformes,Regulidae,Regulus_ignicapilla,gbif
Motacilla flava,Western Yellow Wagtail,Aves,Passeriformes,Motacillidae,Motacilla_flava,gbif
Athene noctua,Little Owl,Aves,Strigiformes,Strigidae,Athene_noctua,gbif
Passer montanus,Eurasian Tree Sparrow,Aves,Passeriformes,Passeridae,Passer_montanus,gbif
Asio otus,Long-eared Owl,Aves,Strigiformes,Strigidae,Asio_otus,gbif
Acrocephalus dumetorum,Blyth's Reed Warbler,Aves,Passeriformes,Acrocephalidae,Acrocephalus_dumetorum,gbif
Pyrrhula pyrrhula,Eurasian Bullfinch,Aves,Passeriformes,Fringillidae,Pyrrhula_pyrrhula,gbif
Columba palumbus,Common Wood-Pigeon,Aves,Columbiformes,Columbidae,Columba_palumbus,gbif
Linaria cannabina,Eurasian Linnet,Aves,Passeriformes,Fringillidae,Linaria_cannabina,gbif
Zonotrichia albicollis,White-throated Sparrow,Aves,Passeriformes,Passerellidae,Zonotrichia_albicollis,gbif
Emberiza schoeniclus,Reed Bunting,Aves,Passeriformes,Emberizidae,Emberiza_schoeniclus,gbif
Caprimulgus europaeus,Eurasian Nightjar,Aves,Caprimulgiformes,Caprimulgidae,Caprimulgus_europaeus,gbif
Spinus tristis,American Goldfinch,Aves,Passeriformes,Fringillidae,Spinus_tristis,gbif
Locustella naevia,Common Grasshopper-Warbler,Aves,Passeriformes,Locustellidae,Locustella_naevia,gbif
Spinus spinus,Eurasian Siskin,Aves,Passeriformes,Fringillidae,Spinus_spinus,gbif
Buteo lineatus,Red-shouldered/Broad-winged Hawk,Aves,Accipitriformes,Accipitridae,Buteo_lineatus,gbif
Crinia signifera,Brown Froglet,Amphibia,Anura,Myobatrachidae,Crinia_signifera,gbif
Coccothraustes coccothraustes,Hawfinch,Aves,Passeriformes,Fringillidae,Coccothraustes_coccothraustes,gbif
Otus scops,European Scops-Owl,Aves,Strigiformes,Strigidae,Otus_scops,gbif
Grus grus,Common Crane,Aves,Gruiformes,Gruidae,Grus_grus,gbif
Turdus viscivorus,Mistle Thrush,Aves,Passeriformes,Turdidae,Turdus_viscivorus,gbif
Catharus guttatus,Hermit Thrush,Aves,Passeriformes,Turdidae,Catharus_guttatus,gbif
Sitta carolinensis,White-breasted Nuthatch,Aves,Passeriformes,Sittidae,Sitta_carolinensis,gbif
Certhia brachydactyla,Short-toed Treecreeper,Aves,Passeriformes,Certhiidae,Certhia_brachydactyla,gbif
Catharus ustulatus,Swainson's Thrush,Aves,Passeriformes,Turdidae,Catharus_ustulatus,gbif
Seiurus aurocapilla,Ovenbird,Aves,Passeriformes,Parulidae,Seiurus_aurocapilla,gbif
Actitis hypoleucos,Common Sandpiper,Aves,Charadriiformes,Scolopacidae,Actitis_hypoleucos,gbif
Lullula arborea,Wood Lark,Aves,Passeriformes,Alaudidae,Lullula_arborea,gbif
Streptopelia decaocto,Eurasian Collared-Dove,Aves,Columbiformes,Columbidae,Streptopelia_decaocto,gbif
Emberiza hortulana,Ortolan Bunting,Aves,Passeriformes,Emberizidae,Emberiza_hortulana,gbif
Poecile carolinensis,Carolina Chickadee,Aves,Passeriformes,Paridae,Poecile_carolinensis,gbif
Crex crex,Corn Crake,Aves,Gruiformes,Rallidae,Crex_crex,gbif
Coloeus monedula,Western Jackdaw,Aves,Passeriformes,Corvidae,Coloeus_monedula,gbif
Lithobates sylvaticus,Wood Frog,Amphibia,Anura,Ranidae,Lithobates_sylvaticus,gbif
Numenius arquata,Eurasian Curlew,Aves,Charadriiformes,Scolopacidae,Numenius_arquata,gbif
Turdus pilaris,Fieldfare,Aves,Passeriformes,Turdidae,Turdus_pilaris,gbif
Ficedula hypoleuca,European Pied Flycatcher,Aves,Passeriformes,Muscicapidae,Ficedula_hypoleuca,gbif
Poecile montanus,Willow Tit,Aves,Passeriformes,Paridae,Poecile_montanus,gbif
Locustella luscinioides,Savi's Warbler,Aves,Passeriformes,Locustellidae,Locustella_luscinioides,gbif
Gallinago gallinago,Common Snipe,Aves,Charadriiformes,Scolopacidae,Gallinago_gallinago,gbif
Anaxyrus americanus,American Toad,Amphibia,Anura,Bufonidae,Anaxyrus_americanus,gbif
Motacilla alba,White Wagtail,Aves,Passeriformes,Motacillidae,Motacilla_alba,gbif
Buteo buteo,Common Buzzard,Aves,Accipitriformes,Accipitridae,Buteo_buteo,gbif
Passerina cyanea,Indigo Bunting,Aves,Passeriformes,Cardinalidae,Passerina_cyanea,gbif
Contopus virens,Eastern Wood-Pewee,Aves,Passeriformes,Tyrannidae,Contopus_virens,gbif
Tachybaptus ruficollis,Little Grebe,Aves,Podicipediformes,Podicipedidae,Tachybaptus_ruficollis,gbif
Muscicapa striata,Spotted Flycatcher,Aves,Passeriformes,Muscicapidae,Muscicapa_striata,gbif
Botaurus stellaris,Great Bittern,Aves,Pelecaniformes,Ardeidae,Botaurus_stellaris,gbif
Myiarchus crinitus,Great Crested Flycatcher,Aves,Passeriformes,Tyrannidae,Myiarchus_crinitus,gbif
Setophaga americana,Northern Parula,Aves,Passeriformes,Parulidae,Setophaga_americana,gbif
Charadrius vociferus,Killdeer,Aves,Charadriiformes,Charadriidae,Charadrius_vociferus,gbif
Corvus ossifragus,Fish Crow,Aves,Passeriformes,Corvidae,Corvus_ossifragus,gbif
Ardea cinerea,Gray/Purple Heron,Aves,Pelecaniformes,Ardeidae,Ardea_cinerea,gbif
Spizella passerina,Chipping Sparrow,Aves,Passeriformes,Passerellidae,Spizella_passerina,gbif
Tringa ochropus,Green Sandpiper,Aves,Charadriiformes,Scolopacidae,Tringa_ochropus,gbif
Luscinia svecica,Bluethroat,Aves,Passeriformes,Muscicapidae,Luscinia_svecica,gbif
Lophophanes cristatus,Crested Tit,Aves,Passeriformes,Paridae,Lophophanes_cristatus,gbif
Setophaga aestiva,American Yellow Warbler,Aves,Passeriformes,Parulidae,Setophaga_aestiva,gbif
Vireo gilvus,Warbling Vireo,Aves,Passeriformes,Vireonidae,Vireo_gilvus,gbif
Spizella pusilla,Field Sparrow,Aves,Passeriformes,Passerellidae,Spizella_pusilla,gbif
Dryophytes chrysoscelis,Cope's Gray Treefrog,Amphibia,Anura,Hylidae,Dryophytes_chrysoscelis,gbif
Pitangus sulphuratus,Great Kiskadee,Aves,Passeriformes,Tyrannidae,Pitangus_sulphuratus,gbif
Sitta canadensis,Red-breasted Nuthatch,Aves,Passeriformes,Sittidae,Sitta_canadensis,gbif
Dryocopus pileatus,Pileated Woodpecker,Aves,Piciformes,Picidae,Dryocopus_pileatus,gbif
Certhia familiaris,Eurasian Treecreeper,Aves,Passeriformes,Certhiidae,Certhia_familiaris,gbif
Tringa totanus,Common Redshank,Aves,Charadriiformes,Scolopacidae,Tringa_totanus,gbif
Zenaida macroura,Mourning Dove,Aves,Columbiformes,Columbidae,Zenaida_macroura,gbif
Chroicocephalus ridibundus,Black-headed Gull,Aves,Charadriiformes,Laridae,Chroicocephalus_ridibundus,gbif
Pterophylla camellifolia,Common True Katydid,Insecta,Orthoptera,Tettigoniidae,Pterophylla_camellifolia,gbif
Haematopus ostralegus,Eurasian Oystercatcher,Aves,Charadriiformes,Haematopodidae,Haematopus_ostralegus,gbif
Cisticola juncidis,Zitting Cisticola,Aves,Passeriformes,Cisticolidae,Cisticola_juncidis,gbif
Piranga rubra,Summer Tanager,Aves,Passeriformes,Cardinalidae,Piranga_rubra,gbif
Phylloscopus inornatus,Yellow-browed Warbler,Aves,Passeriformes,Phylloscopidae,Phylloscopus_inornatus,gbif
Sayornis phoebe,Eastern Phoebe,Aves,Passeriformes,Tyrannidae,Sayornis_phoebe,gbif
Regulus calendula,Ruby-crowned Kinglet,Aves,Passeriformes,Regulidae,Regulus_calendula,gbif
Setophaga ruticilla,American Redstart,Aves,Passeriformes,Parulidae,Setophaga_ruticilla,gbif
Vanellus vanellus,Northern Lapwing,Aves,Charadriiformes,Charadriidae,Vanellus_vanellus,gbif
Catharus fuscescens,Veery,Aves,Passeriformes,Turdidae,Catharus_fuscescens,gbif
Dendrocoptes medius,Middle Spotted Woodpecker,Aves,Piciformes,Picidae,Dendrocoptes_medius,gbif
Canis latrans,coyote,Mammalia,Carnivora,Canidae,Canis_latrans,gbif
Numenius phaeopus,Whimbrel,Aves,Charadriiformes,Scolopacidae,Numenius_phaeopus,gbif
Pluvialis apricaria,European Golden-Plover,Aves,Charadriiformes,Charadriidae,Pluvialis_apricaria,gbif
Carpodacus erythrinus,Common Rosefinch,Aves,Passeriformes,Fringillidae,Carpodacus_erythrinus,gbif
Polioptila caerulea,Blue-gray Gnatcatcher,Aves,Passeriformes,Polioptilidae,Polioptila_caerulea,gbif
Scolopax minor,American Woodcock,Aves,Charadriiformes,Scolopacidae,Scolopax_minor,gbif
Setophaga coronata,Yellow-rumped Warbler,Aves,Passeriformes,Parulidae,Setophaga_coronata,gbif
Tringa nebularia,Common Greenshank,Aves,Charadriiformes,Scolopacidae,Tringa_nebularia,gbif
Cistothorus palustris,Marsh Wren,Aves,Passeriformes,Troglodytidae,Cistothorus_palustris,gbif
Curruca melanocephala,Sardinian Warbler,Aves,Passeriformes,Sylviidae,Curruca_melanocephala,gbif
Lithobates clamitans,Green Frog,Amphibia,Anura,Ranidae,Lithobates_clamitans,gbif
Jynx torquilla,Eurasian Wryneck,Aves,Piciformes,Picidae,Jynx_torquilla,gbif
Porzana porzana,Spotted Crake,Aves,Gruiformes,Rallidae,Porzana_porzana,gbif
Nycticorax nycticorax,Black-crowned Night-Heron,Aves,Pelecaniformes,Ardeidae,Nycticorax_nycticorax,gbif
Acanthis flammea,Common Redpoll,Aves,Passeriformes,Fringillidae,Acanthis_flammea,gbif
Anser anser,Graylag Goose,Aves,Anseriformes,Anatidae,Anser_anser,gbif
Psittacula krameri,Rose-ringed Parakeet,Aves,Psittaciformes,Psittacidae,Psittacula_krameri,gbif
Antrostomus vociferus,Eastern Whip-poor-will,Aves,Caprimulgiformes,Caprimulgidae,Antrostomus_vociferus,gbif
Antrostomus carolinensis,Chuck-will's-widow,Aves,Caprimulgiformes,Caprimulgidae,Antrostomus_carolinensis,gbif
Leuconotopicus villosus,Hairy Woodpecker,Aves,Piciformes,Picidae,Leuconotopicus_villosus,gbif
Sturnella neglecta,Western Meadowlark,Aves,Passeriformes,Icteridae,Sturnella_neglecta,gbif
Setophaga citrina,Hooded Warbler,Aves,Passeriformes,Parulidae,Setophaga_citrina,gbif
Troglodytes pacificus,Pacific Wren,Aves,Passeriformes,Troglodytidae,Troglodytes_pacificus,gbif
Setophaga pinus,Pine Warbler,Aves,Passeriformes,Parulidae,Setophaga_pinus,gbif
Fringilla montifringilla,Brambling,Aves,Passeriformes,Fringillidae,Fringilla_montifringilla,gbif
Colluricincla harmonica,Gray Shrikethrush,Aves,Passeriformes,Pachycephalidae,Colluricincla_harmonica,gbif
Dryobates minor,Lesser Spotted Woodpecker,Aves,Piciformes,Picidae,Dryobates_minor,gbif
Troglodytes hiemalis,Winter Wren,Aves,Passeriformes,Troglodytidae,Troglodytes_hiemalis,gbif
Dryophytes cinereus,Green Treefrog,Amphibia,Anura,Hylidae,Dryophytes_cinereus,gbif
Regulus satrapa,Golden-crowned Kinglet,Aves,Passeriformes,Regulidae,Regulus_satrapa,gbif
Quiscalus mexicanus,Great-tailed Grackle,Aves,Passeriformes,Icteridae,Quiscalus_mexicanus,gbif
Pholidoptera griseoaptera,Dark Bush Cricket,Insecta,Orthoptera,Tettigoniidae,Pholidoptera_griseoaptera,gbif
Grus canadensis,Sandhill crane,Aves,Gruiformes,Gruidae,Grus_canadensis,gbif
Alcedo atthis,Common Kingfisher,Aves,Coraciiformes,Alcedinidae,Alcedo_atthis,gbif
Setophaga virens,Black-throated Green Warbler,Aves,Passeriformes,Parulidae,Setophaga_virens,gbif
Merops apiaster,European Bee-eater,Aves,Coraciiformes,Meropidae,Merops_apiaster,gbif
Motacilla cinerea,Gray Wagtail,Aves,Passeriformes,Motacillidae,Motacilla_cinerea,gbif
Mniotilta varia,Black-and-white Warbler,Aves,Passeriformes,Parulidae,Mniotilta_varia,gbif
Gryllus campestris,Field Cricket,Insecta,Orthoptera,Gryllidae,Gryllus_campestris,gbif
Spinus psaltria,Lesser Goldfinch,Aves,Passeriformes,Fringillidae,Spinus_psaltria,gbif
Emberiza cirlus,Cirl Bunting,Aves,Passeriformes,Emberizidae,Emberiza_cirlus,gbif
Hippolais polyglotta,Melodious Warbler,Aves,Passeriformes,Acrocephalidae,Hippolais_polyglotta,gbif
Locustella fluviatilis,Eurasian River Warbler,Aves,Passeriformes,Locustellidae,Locustella_fluviatilis,gbif
Phylloscopus trochiloides,Greenish Warbler,Aves,Passeriformes,Phylloscopidae,Phylloscopus_trochiloides,gbif
Sturnella magna,Eastern Meadowlark,Aves,Passeriformes,Icteridae,Sturnella_magna,gbif
Calidris alpina,Dunlin,Aves,Charadriiformes,Scolopacidae,Calidris_alpina,gbif
Icterus galbula,Baltimore Oriole,Aves,Passeriformes,Icteridae,Icterus_galbula,gbif
Upupa epops,Eurasian Hoopoe,Aves,Bucerotiformes,Upupidae,Upupa_epops,gbif
Piranga olivacea,Scarlet Tanager,Aves,Passeriformes,Cardinalidae,Piranga_olivacea,gbif
Phasianus colchicus,Ring-necked Pheasant,Aves,Galliformes,Phasianidae,Phasianus_colchicus,gbif
Certhia americana,Brown Creeper,Aves,Passeriformes,Certhiidae,Certhia_americana,gbif
Nyctidromus albicollis,Common Pauraque,Aves,Caprimulgiformes,Caprimulgidae,Nyctidromus_albicollis,gbif
Phylloscopus ibericus,Iberian Chiffchaff,Aves,Passeriformes,Phylloscopidae,Phylloscopus_ibericus,gbif
Megascops asio,Eastern Screech-Owl,Aves,Strigiformes,Strigidae,Megascops_asio,gbif
Ficedula parva,Red-breasted Flycatcher,Aves,Passeriformes,Muscicapidae,Ficedula_parva,gbif
Eudynamys scolopaceus,Asian Koel,Aves,Cuculiformes,Cuculidae,Eudynamys_scolopaceus,gbif
Anas crecca,Green-winged Teal,Aves,Anseriformes,Anatidae,Anas_crecca,gbif
Turdus torquatus,Ring Ouzel,Aves,Passeriformes,Turdidae,Turdus_torquatus,gbif
Parkesia noveboracensis,Northern Waterthrush,Aves,Passeriformes,Parulidae,Parkesia_noveboracensis,gbif
Icteria virens,Yellow-breasted Chat,Aves,Passeriformes,Parulidae,Icteria_virens,gbif
Saxicola rubicola,European Stonechat,Aves,Passeriformes,Muscicapidae,Saxicola_rubicola,gbif
Charadrius hiaticula,Common Ringed Plover,Aves,Charadriiformes,Charadriidae,Charadrius_hiaticula,gbif
Zonotrichia capensis,Rufous-collared Sparrow,Aves,Passeriformes,Passerellidae,Zonotrichia_capensis,gbif
Falco tinnunculus,Eurasian Kestrel,Aves,Falconiformes,Falconidae,Falco_tinnunculus,gbif
Scolopax rusticola,Eurasian Woodcock,Aves,Charadriiformes,Scolopacidae,Scolopax_rusticola,gbif
Henicorhina leucophrys,Gray-breasted Wood-Wren,Aves,Passeriformes,Troglodytidae,Henicorhina_leucophrys,gbif
Anser albifrons,Greater White-fronted Goose,Aves,Anseriformes,Anatidae,Anser_albifrons,gbif
Vireo solitarius,Blue-headed Vireo,Aves,Passeriformes,Vireonidae,Vireo_solitarius,gbif
Delichon urbicum,Common House-Martin,Aves,Passeriformes,Hirundinidae,Delichon_urbicum,gbif
Parkesia motacilla,Louisiana Waterthrush,Aves,Passeriformes,Parulidae,Parkesia_motacilla,gbif
Picus canus,Gray-headed Woodpecker,Aves,Piciformes,Picidae,Picus_canus,gbif
Acris blanchardi,Blanchard's Cricket Frog,Amphibia,Anura,Hylidae,Acris_blanchardi,gbif
Phylloscopus humei,Hume's Warbler,Aves,Passeriformes,Phylloscopidae,Phylloscopus_humei,gbif
Ramphastos ambiguus,Yellow-throated Toucan,Aves,Piciformes,Ramphastidae,Ramphastos_ambiguus,gbif
Tringa glareola,Wood Sandpiper,Aves,Charadriiformes,Scolopacidae,Tringa_glareola,gbif
Leiothlypis peregrina,Tennessee Warbler,Aves,Passeriformes,Parulidae,Leiothlypis_peregrina,gbif
Megaceryle alcyon,Belted Kingfisher,Aves,Coraciiformes,Alcedinidae,Megaceryle_alcyon,gbif
Leiothlypis celata,Orange-crowned Warbler,Aves,Passeriformes,Parulidae,Leiothlypis_celata,gbif
Phylloscopus bonelli,Western Bonelli's Warbler,Aves,Passeriformes,Phylloscopidae,Phylloscopus_bonelli,gbif
Tamias striatus,eastern chipmunk,Mammalia,Rodentia,Sciuridae,Tamias_striatus,gbif
Pipistrellus nathusii,Nathusius's Bat,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus_nathusii,gbif
Molothrus ater,Brown-headed Cowbird,Aves,Passeriformes,Icteridae,Molothrus_ater,gbif
Anthus spinoletta,Water Pipit,Aves,Passeriformes,Motacillidae,Anthus_spinoletta,gbif
Pandion haliaetus,Osprey,Aves,Accipitriformes,Pandionidae,Pandion_haliaetus,gbif
Charadrius dubius,Little Ringed Plover,Aves,Charadriiformes,Charadriidae,Charadrius_dubius,gbif
Mareca penelope,Eurasian Wigeon,Aves,Anseriformes,Anatidae,Mareca_penelope,gbif
Pheucticus ludovicianus,Rose-breasted Grosbeak,Aves,Passeriformes,Cardinalidae,Pheucticus_ludovicianus,gbif
Chordeiles minor,Common Nighthawk,Aves,Caprimulgiformes,Caprimulgidae,Chordeiles_minor,gbif
Burhinus oedicnemus,Eurasian Thick-knee,Aves,Charadriiformes,Burhinidae,Burhinus_oedicnemus,gbif
Spinus pinus,Pine Siskin,Aves,Passeriformes,Fringillidae,Spinus_pinus,gbif
Sterna hirundo,Common Tern,Aves,Charadriiformes,Laridae,Sterna_hirundo,gbif
Rupornis magnirostris,Roadside Hawk,Aves,Accipitriformes,Accipitridae,Rupornis_magnirostris,gbif
Cyclarhis gujanensis,Rufous-browed Peppershrike,Aves,Passeriformes,Vireonidae,Cyclarhis_gujanensis,gbif
Bombycilla cedrorum,Cedar Waxwing,Aves,Passeriformes,Bombycillidae,Bombycilla_cedrorum,gbif
Anthornis melanura,New Zealand Bellbird,Aves,Passeriformes,Meliphagidae,Anthornis_melanura,gbif
Streptopelia turtur,European Turtle-Dove,Aves,Columbiformes,Columbidae,Streptopelia_turtur,gbif
Cygnus cygnus,Whooper Swan,Aves,Anseriformes,Anatidae,Cygnus_cygnus,gbif
Empidonax difficilis,Pacific-slope Flycatcher,Aves,Passeriformes,Tyrannidae,Empidonax_difficilis,gbif
Cardellina pusilla,Wilson's Warbler,Aves,Passeriformes,Parulidae,Cardellina_pusilla,gbif
Pheucticus melanocephalus,Black-headed Grosbeak,Aves,Passeriformes,Cardinalidae,Pheucticus_melanocephalus,gbif
Calypte anna,Anna's Hummingbird,Aves,Apodiformes,Trochilidae,Calypte_anna,gbif
Ninox boobook,Southern Boobook,Aves,Strigiformes,Strigidae,Ninox_boobook,gbif
Toxostoma curvirostre,Curve-billed Thrasher,Aves,Passeriformes,Mimidae,Toxostoma_curvirostre,gbif
Buteo jamaicensis,Red-tailed Hawk,Aves,Accipitriformes,Accipitridae,Buteo_jamaicensis,gbif
Sialia sialis,Eastern Bluebird,Aves,Passeriformes,Turdidae,Sialia_sialis,gbif
Vireo flavifrons,Yellow-throated Vireo,Aves,Passeriformes,Vireonidae,Vireo_flavifrons,gbif
Coccyzus americanus,Yellow-billed Cuckoo,Aves,Cuculiformes,Cuculidae,Coccyzus_americanus,gbif
Pseudacris feriarum,Southeastern Chorus Frog,Amphibia,Anura,Hylidae,Pseudacris_feriarum,gbif
Larus argentatus,Herring Gull,Aves,Charadriiformes,Laridae,Larus_argentatus,gbif
Haemorhous purpureus,Purple Finch,Aves,Passeriformes,Fringillidae,Haemorhous_purpureus,gbif
Passerculus sandwichensis,Savannah Sparrow,Aves,Passeriformes,Passerellidae,Passerculus_sandwichensis,gbif
Himantopus himantopus,Black-winged Stilt,Aves,Charadriiformes,Recurvirostridae,Himantopus_himantopus,gbif
Gymnorhina tibicen,Australian Magpie,Aves,Passeriformes,Cracticidae,Gymnorhina_tibicen,gbif
Anthus campestris,Tawny Pipit,Aves,Passeriformes,Motacillidae,Anthus_campestris,gbif
Limnodynastes dumerilii,Banjo Frog,Amphibia,Anura,Limnodynastidae,Limnodynastes_dumerilii,gbif
Setophaga pensylvanica,Chestnut-sided Warbler,Aves,Passeriformes,Parulidae,Setophaga_pensylvanica,gbif
Psaltriparus minimus,Bushtit,Aves,Passeriformes,Aegithalidae,Psaltriparus_minimus,gbif
Coereba flaveola,Bananaquit,Aves,Passeriformes,Thraupidae,Coereba_flaveola,gbif
Loxia pytyopsittacus,Parrot Crossbill,Aves,Passeriformes,Fringillidae,Loxia_pytyopsittacus,gbif
Melospiza georgiana,Swamp Sparrow,Aves,Passeriformes,Passerellidae,Melospiza_georgiana,gbif
Limnodynastes peronii,Brown Frog,Amphibia,Anura,Limnodynastidae,Limnodynastes_peronii,gbif
Pluvialis squatarola,Black-bellied Plover,Aves,Charadriiformes,Charadriidae,Pluvialis_squatarola,gbif
Lanius collurio,Red-backed Shrike,Aves,Passeriformes,Laniidae,Lanius_collurio,gbif
Gastrophryne carolinensis,Eastern narrowmouth toad,Amphibia,Anura,Microhylidae,Gastrophryne_carolinensis,gbif
Dacelo novaeguineae,Laughing Kookaburra,Aves,Coraciiformes,Alcedinidae,Dacelo_novaeguineae,gbif
Glaucidium brasilianum,Ferruginous Pygmy-Owl,Aves,Strigiformes,Strigidae,Glaucidium_brasilianum,gbif
Setophaga petechia,Yellow Warbler,Aves,Passeriformes,Parulidae,Setophaga_petechia,gbif
Tamiasciurus hudsonicus,American red squirrel,Mammalia,Rodentia,Sciuridae,Tamiasciurus_hudsonicus,gbif
Empidonax virescens,Acadian Flycatcher,Aves,Passeriformes,Tyrannidae,Empidonax_virescens,gbif
Glaucidium passerinum,Eurasian Pygmy-Owl,Aves,Strigiformes,Strigidae,Glaucidium_passerinum,gbif
Tyrannus melancholicus,Tropical Kingbird,Aves,Passeriformes,Tyrannidae,Tyrannus_melancholicus,gbif
Melanerpes formicivorus,Acorn Woodpecker,Aves,Piciformes,Picidae,Melanerpes_formicivorus,gbif
Leiothlypis ruficapilla,Nashville Warbler,Aves,Passeriformes,Parulidae,Leiothlypis_ruficapilla,gbif
Vireo huttoni,Hutton's Vireo,Aves,Passeriformes,Vireonidae,Vireo_huttoni,gbif
Ixobrychus minutus,Little Bittern,Aves,Pelecaniformes,Ardeidae,Ixobrychus_minutus,gbif
Empidonax traillii,Willow Flycatcher,Aves,Passeriformes,Tyrannidae,Empidonax_traillii,gbif
Vireo bellii,Bell's Vireo,Aves,Passeriformes,Vireonidae,Vireo_bellii,gbif
Aphelocoma californica,California/Woodhouse's Scrub-Jay,Aves,Passeriformes,Corvidae,Aphelocoma_californica,gbif
Cantorchilus leucotis,Buff-breasted Wren,Aves,Passeriformes,Troglodytidae,Cantorchilus_leucotis,gbif
Aegolius funereus,Boreal Owl,Aves,Strigiformes,Strigidae,Aegolius_funereus,gbif
Falco peregrinus,Peregrine Falcon,Aves,Falconiformes,Falconidae,Falco_peregrinus,gbif
Strepera graculina,Pied Currawong,Aves,Passeriformes,Cracticidae,Strepera_graculina,gbif
Empidonax minimus,Least Flycatcher,Aves,Passeriformes,Tyrannidae,Empidonax_minimus,gbif
Yoyetta celis,Silver Princess,Insecta,Hemiptera,Cicadidae,Yoyetta_celis,gbif
Anthus richardi,Richard's/Blyth's Pipit,Aves,Passeriformes,Motacillidae,Anthus_richardi,gbif
Baeolophus inornatus,Oak Titmouse,Aves,Passeriformes,Paridae,Baeolophus_inornatus,gbif
Pachycephala pectoralis,Golden Whistler,Aves,Passeriformes,Pachycephalidae,Pachycephala_pectoralis,gbif
Psophodes olivaceus,Eastern Whipbird,Aves,Passeriformes,Psophodidae,Psophodes_olivaceus,gbif
Passerella iliaca,Fox Sparrow,Aves,Passeriformes,Passerellidae,Passerella_iliaca,gbif
Tadarida teniotis,European Free-tailed Bat,Mammalia,Chiroptera,Molossidae,Tadarida_teniotis,gbif
Troglodytes musculus,Southern House-Wren,Aves,Passeriformes,Troglodytidae,Troglodytes_musculus,gbif
Orthotomus sutorius,Common Tailorbird,Aves,Passeriformes,Cisticolidae,Orthotomus_sutorius,gbif
